Category,"Hist. Ref. Per., 1950-2014",SSP1-1.9,SSP1-2.6,SSP2-4.5,SSP3-7.0,SSP5-8.5,"Hist. Ref. Per., 1950-2014.1",SSP1-1.9.1,SSP1-2.6.1,SSP2-4.5.1,SSP3-7.0.1,SSP5-8.5.1,Unnamed: 13,SSP1-1.9_HeatIndex,SSP1-2.6_HeatIndex,SSP2-4.5_HeatIndex,SSP3-7.0_HeatIndex,SSP5-8.5_HeatIndex
1990,60.55,,,,,,24.26,,,,,,,,,,,
1991,60.4,,,,,,24.29,,,,,,,,,,,
1992,60.59,,,,,,23.88,,,,,,,,,,,
1993,60.63,,,,,,24.01,,,,,,,,,,,
1994,60.57,,,,,,24.12,,,,,,,,,,,
1995,60.66,,,,,,24.25,,,,,,,,,,,
1996,60.65,,,,,,24.16,,,,,,,,,,,
1997,60.91,,,,,,24.32,,,,,,,,,,,
1998,61.31,,,,,,24.28,,,,,,,,,,,
1999,61.05,,,,,,24.37,,,,,,,,,,,
2000,60.62,,,,,,24.38,,,,,,,,,,,
2001,60.98,,,,,,24.5,,,,,,,,,,,
2002,61.2,,,,,,24.51,,,,,,,,,,,
2003,61.76,,,,,,24.4,,,,,,,,,,,
2004,61.4,,,,,,24.52,,,,,,,,,,,
2005,60.78,,,,,,24.53,,,,,,,,,,,
2006,61.42,,,,,,24.42,,,,,,,,,,,
2007,61.67,,,,,,24.43,,,,,,,,,,,
2008,61.88,,,,,,24.4,,,,,,,,,,,
2009,61.12,,,,,,24.5,,,,,,,,,,,
2010,60.85,,,,,,24.58,,,,,,,,,,,
2011,61.31,,,,,,24.63,,,,,,,,,,,
2012,61.4,,,,,,24.67,,,,,,,,,,,
2013,61.74,,,,,,24.62,,,,,,,,,,,
2056,,61.79,61.94,62.3,62.55,61.75,,77.52199999999999,77.972,78.53,78.746,79.55600000000001,,79.2718419779689,79.7177254961305,80.32146256836256,80.57638553434104,81.45647082178965
2057,,61.55,61.41,61.93,62.24,61.41,,77.55799999999999,78.026,78.602,78.962,79.77199999999999,,79.30052813955211,79.75180897378047,80.37869360459521,80.80080221587204,81.68404574507571
2058,,61.58,61.42,62.2,62.35,61.2,,77.54,78.188,78.494,78.854,79.88,,79.28418508090745,79.91585358881811,80.27670517969935,80.68542152229756,81.79379227757086
2059,,61.74,62.16,61.56,62.79,61.9,,77.504,78.062,78.764,78.746,79.934,,79.25367083297854,79.81803979488222,80.53275457515367,80.59173774212161,81.93477557186608
2060,,61.67,61.95,61.67,62.47,61.91,,77.54,78.17,78.89,78.94399999999999,80.006,,79.28624570492198,79.9208092320675,80.67934870773811,80.79658996220157,82.02631337913752
2061,,61.86,61.94,61.67,63.78,62.28,,77.468,77.882,78.71,79.07,80.222,,79.22209480544714,79.62721137102068,80.4806770723876,81.04209058096872,82.345515480085
2062,,61.68,61.2,62.25,62.64,62.52,,77.504,78.08,78.69200000000001,79.25,80.258,,79.25237488332925,79.7973404707034,80.49701702003838,81.1684229929329,82.42144222445597
2063,,61.6,61.16,62.25,62.86,61.62,,77.52199999999999,78.332,78.674,79.142,80.54599999999999,,79.26762179653412,80.05109402689493,80.47703792245284,81.05740886054946,82.68718710139848
2064,,61.69,61.54,62.08,62.65,62.39,,77.486,78.242,78.746,79.25,80.528,,79.23559539781398,79.97670145593182,80.546320506459,81.16924833083917,82.76409598082606
2065,,61.6,61.4,61.76,62.64,62.21,,77.378,77.936,78.89,79.232,80.168,,79.13287490054765,79.66194508458736,80.68556578532588,81.14693921422551,82.26720946378711
