Category,"Hist. Ref. Per., 1950-2014",Historical 10-90th Percentile Range (low),Historical 10-90th Percentile Range (high),SSP1-1.9,SSP1-1.9 10-90th Percentile Range (low),SSP1-1.9 10-90th Percentile Range (high),SSP1-2.6,SSP1-2.6 10-90th Percentile Range (low),SSP1-2.6 10-90th Percentile Range (high),SSP2-4.5,SSP2-4.5 10-90th Percentile Range (low),SSP2-4.5 10-90th Percentile Range (high),SSP3-7.0,SSP3-7.0 10-90th Percentile Range (low),SSP3-7.0 10-90th Percentile Range (high),SSP5-8.5,SSP5-8.5 10-90th Percentile Range (low),SSP5-8.5 10-90th Percentile Range (high)
1991,77.80387442417491,77.29110829802417,78.48520694769319,,,,,,,,,,,,,,,
1992,77.31821535513296,77.00243672765654,77.7577421905191,,,,,,,,,,,,,,,
1993,77.46152363882632,77.10893722682727,77.95550720128436,,,,,,,,,,,,,,,
1994,77.59198156120195,77.16070088634058,78.04729357935449,,,,,,,,,,,,,,,
1995,77.74621344257514,77.16447423597126,78.28715354343964,,,,,,,,,,,,,,,
1996,77.63668466767646,77.32089012021498,78.13597250763992,,,,,,,,,,,,,,,
1997,77.82655412974728,77.36845786510679,78.36229607123543,,,,,,,,,,,,,,,
1998,77.76273993979643,77.42766415102773,78.40180240482302,,,,,,,,,,,,,,,
1999,77.88716128680902,77.23341617097753,78.56028998512667,,,,,,,,,,,,,,,
2000,77.91158088147407,77.410518168267,78.39947146058742,,,,,,,,,,,,,,,
2001,78.06168908267783,77.58619553170405,78.7307488505979,,,,,,,,,,,,,,,
2002,78.07076991589838,77.45066172248401,78.68006023411601,,,,,,,,,,,,,,,
2003,77.9072740525465,77.47497117355309,78.4268610384469,,,,,,,,,,,,,,,
2004,78.08040018421366,77.52195037062421,78.73018668954566,,,,,,,,,,,,,,,
2005,78.10619912136637,77.51132822623995,78.83208424902264,,,,,,,,,,,,,,,
2006,77.94350234859206,77.33483006926613,78.78170636774212,,,,,,,,,,,,,,,
2007,77.95049063048835,77.31736291895095,78.64189133143617,,,,,,,,,,,,,,,
2008,77.90386891611244,77.2909123190017,78.51086095555706,,,,,,,,,,,,,,,
2009,78.05878526945912,77.47539434349233,78.71310470624036,,,,,,,,,,,,,,,
2010,78.17330689376752,77.54535090851353,78.9860220653714,,,,,,,,,,,,,,,
2011,78.23630267752029,77.59785839892342,79.00703371678247,,,,,,,,,,,,,,,
2012,78.29238961495851,77.63530621549047,79.04519567131948,,,,,,,,,,,,,,,
2013,78.21539177952792,77.56523402240519,78.9219357267744,,,,,,,,,,,,,,,
2054,,,,79.2383183607624,78.22307041693307,80.67129085922848,79.77301572447348,78.51631728450988,81.67873697880773,80.16794553635125,78.6154188203384,82.49419020834452,79.9840259540039,78.2612946737753,82.71864468517757,81.47514234818232,79.31385580382252,84.32755601135213
2055,,,,79.20488173493563,78.2857055817343,80.80638485456751,79.64315857868235,78.46243499537502,81.79884375340353,80.23773378639507,78.92863282289449,82.60267093792862,80.1251252125757,78.61690152605647,83.61342918880163,81.35351412719919,79.21568077587966,84.86200728875097
2056,,,,79.2718419779689,78.31311070769765,80.64418592526499,79.7177254961305,78.47598882849145,81.7680371959851,80.32146256836256,78.79048037915706,82.77486380911068,80.57638553434104,78.93609064817619,82.95940107256935,81.45647082178965,79.3971254380223,84.31162869376539
2057,,,,79.30052813955211,78.34168467181827,80.6197218862292,79.75180897378047,78.6818705036175,81.67749649146224,80.37869360459521,78.61217752689879,82.76196989843336,80.80080221587204,79.03824192395625,83.30878250369386,81.68404574507571,79.613774312225,84.4558942287151
2058,,,,79.28418508090745,78.31353763111298,80.71374073368216,79.91585358881811,78.39378610201925,81.95133031595722,80.27670517969935,78.84151412117046,82.88915105334192,80.68542152229756,78.93624767783098,83.76010000991624,81.79379227757086,79.77537988615856,84.87039235106121
2059,,,,79.25367083297854,78.30041312908818,80.75992544928619,79.81803979488222,78.39456197046478,82.15569033467952,80.53275457515367,79.09326690561394,83.22169019857255,80.59173774212161,78.67307704092559,83.73246079081545,81.93477557186608,79.90937130159995,85.42193443507509
2060,,,,79.28624570492198,78.39426328460011,80.58985601715946,79.9208092320675,78.55776884828222,81.82272352470133,80.67934870773811,79.23402096796468,82.77960623772807,80.79658996220157,79.2245416474825,83.65804334592592,82.02631337913752,79.90575035143553,85.3173467038405
2061,,,,79.22209480544714,78.31222934289966,80.5336149279829,79.62721137102068,78.46233635289309,81.77669254082613,80.4806770723876,78.91331145983798,82.6446855656506,81.04209058096872,78.98074999676116,84.21308722252911,82.345515480085,80.24266914537137,85.26636288732098
2062,,,,79.25237488332925,78.31325403468698,80.66018179356325,79.7973404707034,78.62594762220868,81.87717172856117,80.49701702003838,78.85758996715599,83.59158377318914,81.1684229929329,79.04374902760782,84.55088767488934,82.42144222445597,80.06293939139638,85.6866121364456
2063,,,,79.26762179653412,78.30157893448549,80.66146110283643,80.05109402689493,78.4359766554708,82.46925670872469,80.47703792245284,79.12531556531331,83.16538077100589,81.05740886054946,78.97577765190773,84.51234785977388,82.68718710139848,80.2102767468166,85.80330435063327
